Date,Name,Comment
21/03/2023,Jeff _Y,Yes please...
28/02/2023,Murat ZOR,
02/09/2022,William Donato,This is basic please implement it.
02/09/2022,Perla,This is a minimum requirement please implement it
07/07/2021,Supercharge. Studio,Almost 4!! years later and still not implemented. @webflow your customers are waiting dont neglect us.
15/03/2021,Hypernova,+3
02/08/2019,Patrik Norell,+3 on that
23/02/2019,Guest,Yes I want this also!! teachers need this!
03/05/2018,Paul Herzog,Yess!!!
14/12/2017,Brett Lockhart,Yes please.  It would be much easier to organise.
08/08/2017,Cameron Roe,Yep
07/08/2017,Vasken Sayre,And the ability to sort sub-folders alphabetically or by creation date etc. Too much scrolling and manual searching is required when there are many folders.
07/08/2017,Tonda Dysart,Yes to this.
