Date,Name,Comment
08/03/2022,Tracy,Has this been implemented yet? It seems like a no-brainer to be able to add this... Wordpress allows me to paste any product link whether it's in a product section/list or not. It can go anywhere on the site. Has this been rolled out yet?
26/02/2019,Shmuel Fogel,This would be super helpful!
