Date,Name,Comment
25/04/2022,Thiago Oliveira,Really need this! Latin america and Webflow loses a big ecommerce market because of this really necessary thing to have on Webflow.
16/02/2022,Camila Cirico,It would be awesome for Latin America market.
14/02/2022,YAYA,¡Please need that for Argentina too!
22/01/2022,Pablo Gubelin,Please we need that for Brazil Argentina & Mexico
14/01/2022,Max Wilson,Yes please +1 for Mercado Pago too. Very hard to use Webflow in Argentine otherwise I think!
26/03/2021,Fabricio Felix,Ecwid has already had the Pagseguro gatewayhttps://support.ecwid.com/hc/en-us/articles/208523755-PagSeguro-UOL-
07/05/2020,Caio Duque,Teve alguma mudança em relação ao Stripe ou outro modelo de gateway que pode ser utilizado no Brasil?
12/11/2019,Rodrigo Leles,Yes please!
04/10/2019,Lucas Boscacci,Please ASAP
10/01/2019,Fabricio Felix,Any chance?
