Date,Name,Comment
24/11/2018,Hamish Maclean,You could build good "in webflow" event based internal pages with this. I have to use tools like airtable and others when if you could nicely edit ALL field type while logged  you could get places with webflow.
23/02/2017,Jay Bussiere,more instances of my date/time on a CMS page template!  no can edit. boo.
