Date,Name,Comment
29/10/2020,Tanner Cordes,At first Gina wasn't really concerned about Regina De Luca's disapproval. After all who was David going to listen to an old woman who still looked at the world as if it was the nineteen thirties or the babe sharing his bed who was fucking his brains out every night? In fact it was only last night that in anticipation of her imminent betrothal she made one of his most cherished fantasies come true by letting him fuck her in the ass. There was no way he was going to give her up or at least so she believed.
27/02/2019,Tellgrid,Yes please.
09/12/2018,Adrien Olczak,Bump. please
