Date,Name,Comment
02/11/2021,Szymon Zurek,Yes there's a workaround to insert an external URL with the '#' element to scroll down. But this is very frustrating to do on a staging domain as then you have to swap the URL out once you have the domain name.
08/03/2018,Ro De Jonge,You would expect this would already be an option
10/01/2018,Dave Novelli,Is there a workaround for this?
11/10/2017,Brian Punger,thisssss
24/07/2017,Adi Bhujle,Great Idea
18/04/2017,Chris Perry,I'd love to see this as well.
