Date,Name,Comment
22/12/2022,James Monroe,I would LOVE this. Even just the navigator... This would substantially increase my productivity.
19/07/2018,Arno Rinker,Make the Panel at least horizontally resizable. The handling of larger heavily nested DOMs is really tedious!
08/02/2017,Dmitry Ratnikov,Would be Great !Thanks for your idea
