Date,Name,Comment
27/09/2022,Joel Arvidsson,I hope its solved. This is unacceptable.
30/06/2022,Svilen Georgiev,That would be an awesome addition.
09/02/2022,Kunder Kamille,Hello. You can follow these steps. Open up the vide in quick time which is generally the default video player on the mac. Open your MOV file and choose FILE > EXPORT AS > FILE SIZE.
09/02/2022,Ladarius Lang,I’ve added this a wishlist request to have a toggle between compressed and non compressed video: Toggle switch for background video compression | Webflow Wishlist
02/02/2022,Aditya Pande,I require that as well!!! Please
