Date,Name,Comment
20/02/2023,Eugen Andres,I also need more than 100 static pages
06/08/2021,Mario P.,Yes! unlimited static pages. This will alleviate all the other forum requests to increase the static page limits.
27/12/2019,Aleff Souza,I have been told by the support that at the moment the static page limit is 100 pages when the site pages go over 100 the designer performance will start to degrade.I opened this request to hear if other people from the community would also like to do the same then hopefully it will be worth to work around that performance issue.
