Date,Name,Comment
10/08/2022,Ezekiel Rochat,Yes yes.
08/06/2020,Simpatio Digital,There are many companies that used to work with this Editorial workflow and would be a great value to have this feature inside Webflow.
23/07/2019,Ankit Saini,This make the good design here for the bring easy icons and lots of things also put icons desktop in windows 10. Every supporting method you can use for the latest information of the icons.
20/10/2018,Cameron Roe,See also: https://wishlist.webflow.com/ideas/WEBFLOW-I-1517
