Date,Name,Comment
26/05/2023,Miles,Yet another CMS limitation with Webflow 😫
24/03/2023,Alex Bass,So wishing this was possible makes it difficult to make a rich text blog post more interactive 😥
04/02/2020,Maic Fankhauser,Just had the idea of creating like a gallery component where you could add Albums (cms) with a lot of images (more than 25). I often need like just a gallery with different albums (title description images)
11/04/2019,Daniel Castro Maia,It's crazy that its been 2 years and still nothing! Seems like it would be such a simple implementation...
