Date,Name,Comment
23/11/2020,Jeffrey Neon,It's great that google images can be changed automatically. That will serve me a lot in my work as a community manager. The https://eduvikings.com/academized-com-review/ share some places where you get this.
10/03/2019,Omar Algenii,Same  problem.. is there anybody who knows how to solve this matter?
20/11/2017,Tatiana Grange,Same problem.
18/07/2017,FORM Building a State of Creativity Inc,I'm having the same issue - have you been able to resolve this Terry? None of the other forum threads have helped solve this issue. On the "mobile view" portal of Webflow the background looks fine but on the actual mobile phones the vertical height is not stretching to cover the entire background.
